abbr,state,count,population,per_capita,per_capita_rank
AK,Alaska,12,736732,61,50
AL,Alabama,93,4849377,52,45
AR,Arkansas,88,2966369,34,17
AZ,Arizona,146,6731484,46,33
CA,California,789,38802500,49,40
CO,Colorado,141,5355866,38,24
CT,Connecticut,100,3596677,36,20
DE,Delaware,21,935614,45,32
FL,Florida,402,19893297,49,40
GA,Georgia,199,10097343,51,43
HI,Hawaii,28,1419561,51,43
IA,Iowa,96,3107126,32,12
ID,Idaho,44,1634464,37,22
IL,Illinois,320,12880580,40,27
IN,Indiana,139,6596855,47,36
KS,Kansas,96,2904021,30,9
KY,Kentucky,117,4413457,38,24
LA,Louisiana,128,4649676,36,20
MA,Massachusetts,197,6745408,34,17
MD,Maryland,105,5976407,57,49
ME,Maine,43,1330089,31,11
MI,Michigan,204,9909877,49,40
MN,Minnesota,149,5457173,37,22
MO,Missouri,226,6063589,27,5
MS,Mississippi,64,2994079,47,36
MT,Montana,31,1023579,33,14
NC,North Carolina,199,9943964,50,41
ND,North Dakota,30,739482,25,3
NE,Nebraska,53,1881503,36,20
NH,New Hampshire,44,1326813,30,9
NJ,New Jersey,173,8938175,52,45
NM,New Mexico,52,2085572,40,27
NV,Nevada,53,2839099,54,46
NY,New York,481,19746227,41,28
OH,Ohio,383,11594163,30,9
OK,Oklahoma,149,3878051,26,4
OR,Oregon,99,3970239,40,27
PA,Pennsylvania,406,12787209,31,11
RI,Rhode Island,24,1055173,44,30
SC,South Carolina,113,4832482,43,29
SD,South Dakota,31,853175,28,6
TN,Tennessee,190,6549352,34,17
TX,Texas,479,26956958,56,48
UT,Utah,88,2942902,33,14
VA,Virginia,178,8326289,47,36
VT,Vermont,28,626562,22,1
WA,Washington,128,7061530,55,47
WI,Wisconsin,127,5757564,45,32
WV,West Virginia,79,1850326,23,2
WY,Wyoming,12,584153,49,40